"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual","Energy: Residual","Tke: Residual","Tdr: Residual","O2: Residual","CO2: Residual","CO: Residual","CH4: Residual","H2O: Residual","N2: Residual"
44.0,1.0696164319072431E-7,4.9086631556892346E-8,8.925821612656706E-8,5.1292435382933156E-8,0.001872557964059275,3.608550241859689E-9,2.904866293430784E-7,5.09834993648445E-10,5.033700126862002E-10,4.976974399707145E-10,5.610817467348443E-11,3.0418635008189366E-10,4.750861670468509E-10
47.0,9.255442917423399E-8,4.353093830711639E-8,7.951817574407148E-8,5.051867286437464E-8,0.0018189266781850058,3.6414011767491667E-9,3.3937271565836345E-7,5.32900550484187E-10,5.231170094101664E-10,5.213236730815009E-10,5.293918371873147E-11,3.004409529904183E-10,5.008800612618974E-10
50.0,8.126085823139457E-8,4.058664323201975E-8,7.164605467266119E-8,5.405192782854056E-8,0.0017932016412667523,3.6336828330750685E-9,3.4049082197188493E-7,5.173234885841384E-10,5.575683271308803E-10,4.691381871820484E-10,4.50435846322383E-11,2.8577315335569923E-10,5.113685986628681E-10
52.0,7.587181354735244E-8,3.994017735985094E-8,6.6345833997153E-8,5.6877133350521305E-8,0.0018662850053928267,3.5457754703103094E-9,3.239008321262246E-7,5.069511477900282E-10,5.49329413283495E-10,4.813186079978766E-10,4.033475728448737E-11,2.845134512917856E-10,5.086898426373465E-10
55.0,7.216377003941798E-8,3.9602934225009187E-8,5.8503690951155167E-8,5.912624722677235E-8,0.0017882202928350256,3.41071721886881E-9,2.944620250505998E-7,5.21419065941046E-10,5.235962732851333E-10,4.594233605476363E-10,3.751044862813552E-11,2.9307368234977663E-10,5.062324244472083E-10
57.0,6.976850777223838E-8,3.90502911882045E-8,5.307863023925532E-8,5.821558060245169E-8,0.0017716779484123137,3.204574019309593E-9,2.6844076454290366E-7,5.192468003798811E-10,5.135292139984207E-10,4.2958162969265557E-10,3.4263013619152295E-11,2.934861986567928E-10,5.011411208896003E-10
60.0,6.659377380089004E-8,3.759162745252993E-8,4.5464221651820503E-8,5.2998661970179294E-8,0.001747805649273689,2.83843928263552E-9,2.3346875162975222E-7,4.841539086384554E-10,5.137254937533503E-10,3.8270314901245787E-10,2.636420986717833E-11,2.859431565604036E-10,4.80178199338575E-10
62.0,6.166341626689521E-8,3.6443793781583435E-8,4.088033472516728E-8,4.776354146878606E-8,0.0017284988789104225,2.6261064342702634E-9,2.0726635200446244E-7,4.786636298718638E-10,5.059824963476784E-10,3.482052711950527E-10,2.3248765640293983E-11,2.860171576454193E-10,4.707326743749399E-10
65.0,6.733971956611371E-8,3.518511508434894E-8,3.661868752798139E-8,4.003328996885648E-8,0.0017015135794346732,2.40821157240485E-9,1.8457437049280024E-7,4.910298005347439E-10,4.45724137742326E-10,3.4177328091020207E-10,2.2375866054975127E-11,2.9170919221047814E-10,4.5399561780597065E-10
68.0,6.686063323308397E-8,3.4537089025152424E-8,3.4675012603328825E-8,3.500578895417308E-8,0.001688554440501164,2.2493848426518926E-9,1.6172325376893814E-7,4.5916422894583045E-10,4.589363729492484E-10,2.895024779541737E-10,1.7819242562483823E-11,2.84562163651369E-10,4.3329995521093457E-10
70.0,6.404086636835991E-8,3.440232940325483E-8,3.4641673008607594E-8,3.3722688574796105E-8,0.0016791530601717546,2.179803806059186E-9,1.5043909172240703E-7,4.5280406560827294E-10,4.4385396822515043E-10,2.725121414719808E-10,1.6654577931078754E-11,2.835696114104037E-10,4.2201180025050977E-10
73.0,7.098903905454161E-8,3.4507216228849385E-8,3.462342111659876E-8,3.4630757110404166E-8,0.0016636891185608943,2.115126087861975E-9,1.3267676420574124E-7,4.616929609956775E-10,3.8002232462827104E-10,2.659245557142204E-10,1.8511343350219934E-11,2.8480073181537786E-10,4.045873095390943E-10
75.0,6.847676269263587E-8,3.503812366755243E-8,3.424781966122353E-8,3.617647850478555E-8,0.0016613656845055435,2.0554791185374175E-9,1.348005388125926E-7,4.54165744877935E-10,3.6560237582973954E-10,2.542892192068919E-10,1.8364282224914714E-11,2.8224861941314967E-10,3.9358637221197023E-10
78.0,6.763237340180201E-8,3.622970569185077E-8,3.267235081162148E-8,3.8565940782989994E-8,0.001660312187895051,1.8995133430344333E-9,1.2537107698487533E-7,4.2792460857998775E-10,3.9155354346952456E-10,2.254332624030961E-10,1.6362897130381443E-11,2.743544514482717E-10,3.7758872671964035E-10
80.0,7.27472859291822E-8,3.6999480893932315E-8,3.19888106496777E-8,3.9418005469460653E-8,0.0016555605366157275,1.8306303254132415E-9,1.2204775961401496E-7,4.223558560550096E-10,3.817080249306392E-10,2.161935898123908E-10,1.6693419629043057E-11,2.7106217938657163E-10,3.6841831482604386E-10
83.0,7.172627939907609E-8,3.710839175756452E-8,3.109151258104976E-8,3.870168708581614E-8,0.0016433385792066733,1.8106886216655833E-9,1.204828240528661E-7,4.284017527263385E-10,3.230611344069396E-10,2.1405090067752433E-10,1.9204476116192146E-11,2.6924736311655144E-10,3.572949720338182E-10
86.0,6.979278512008318E-8,3.5523089401128716E-8,2.9266682031725286E-8,3.5353928831897643E-8,0.0016376729276498085,1.8171382913834073E-9,1.287935124261122E-7,4.0688630661524934E-10,3.568535533454312E-10,2.0023817605076263E-10,1.8010497937370548E-11,2.614233606019243E-10,3.450563326702082E-10
88.0,6.40347515004323E-8,3.331465117757764E-8,2.9618449084903775E-8,3.224683601342103E-8,0.0016303427259784285,1.8269375800988593E-9,1.1651349424046918E-7,4.027788284785262E-10,3.5121413846960296E-10,1.9816921862311947E-10,1.8522859378253012E-11,2.5890621160743626E-10,3.38633154876447E-10
91.0,6.033059949049707E-8,2.9006353436633353E-8,3.0773381691289E-8,2.8833190667374518E-8,0.001617655211117119,1.951171248871788E-9,1.128167673888965E-7,4.102551368055567E-10,2.995451919525861E-10,1.9590664205230156E-10,2.1051138217185148E-11,2.5946967915801286E-10,3.317334937618307E-10
93.0,5.978818485142682E-8,2.6309152437553242E-8,3.13874628890796E-8,2.963884607923804E-8,0.0016173077466886505,2.0957490525005244E-9,1.2411324965721948E-7,4.0796864685571136E-10,2.961921412923112E-10,1.9310663266889385E-10,2.1568811839621937E-11,2.588419766413677E-10,3.268515232400791E-10
96.0,5.415879874770067E-8,2.450221406182145E-8,3.405409883379115E-8,3.568343336280516E-8,0.0016423318913735302,2.264315957579518E-9,1.2686301493919928E-7,3.9743883308308193E-10,3.35678712453464E-10,1.9180744896261544E-10,2.0666148000011943E-11,2.585415557221229E-10,3.1878623185255556E-10
99.0,5.575378416933634E-8,2.5092753135636563E-8,3.8230156522797115E-8,4.301187612095616E-8,0.0016828497600894846,2.3314890075666093E-9,1.1471737536659122E-7,4.1690574403758376E-10,2.8970622958473805E-10,1.8738349961664364E-10,2.3237573682996906E-11,2.7147562788625725E-10,3.146757882062437E-10
101.0,5.891357203930296E-8,2.5604410301613325E-8,4.2072764560315226E-8,4.606703787260259E-8,0.0017371843617213533,2.283361625953558E-9,1.1158891339848929E-7,4.3010700615552864E-10,2.885763331380634E-10,1.8633305090623528E-10,2.381157162061209E-11,2.8517458470828784E-10,3.116885158376284E-10
104.0,5.731072086740137E-8,2.5248074927891483E-8,5.099848433935201E-8,4.662624855303657E-8,0.001963016988481382,2.128467453189935E-9,1.1707492921067017E-7,4.5714698063267313E-10,3.2918607424161555E-10,1.916560251872814E-10,2.2875832151030805E-11,3.175834106431987E-10,3.072261808937205E-10
106.0,6.537283997225434E-8,2.4154443392369674E-8,5.866076914320491E-8,4.483870348719657E-8,0.002078816317625375,2.0457891896023724E-9,1.171303791486991E-7,4.87710540651641E-10,3.282994747962777E-10,1.9190045954033187E-10,2.341125295358714E-11,3.4560080328641605E-10,3.0592375907408454E-10
109.0,6.132122840968873E-8,2.1855112391043032E-8,6.770094166028282E-8,4.024644520873911E-8,0.0022375015301597328,2.174897041858786E-9,1.1120626435958625E-7,5.278432850763656E-10,2.8760245037418453E-10,1.8441223653883058E-10,2.6044695742201492E-11,3.7776065864800285E-10,3.0473231734504263E-10
111.0,6.006637031763645E-8,2.0502947770265357E-8,7.011589734640678E-8,3.69936820345979E-8,0.002337245120899792,2.286818234158622E-9,1.2100667562795058E-7,5.426243018340166E-10,2.8810094991988286E-10,1.8452743758409032E-10,2.662653552784873E-11,3.9194685314743707E-10,3.0250379263822144E-10
114.0,6.164853663451583E-8,1.9711409761050677E-8,6.99615973515506E-8,3.3759758627242504E-8,0.002472783117615773,2.554732654287865E-9,1.217083404107563E-7,5.557858377396612E-10,3.2803018554325123E-10,1.9404894285707258E-10,2.5654294751992057E-11,4.1000844684837015E-10,2.9768411179815583E-10
117.0,6.04203683411362E-8,2.0799341581966446E-8,6.77610300549262E-8,3.403438678370351E-8,0.0025335891902352426,2.7940459791284496E-9,1.228899003139459E-7,5.766028495204199E-10,2.9146156023203566E-10,1.8624991406831428E-10,2.8442864742777213E-11,4.2496052204791927E-10,2.9580892090554686E-10
119.0,6.147541362010542E-8,2.241370140959164E-8,6.600990666129126E-8,3.543547780282282E-8,0.0024871302253862016,3.0184468676273726E-9,1.1806498241532467E-7,5.738441396680066E-10,2.936204560537017E-10,1.8732900470697354E-10,2.905809871156689E-11,4.212676204081731E-10,2.9347565437486294E-10
122.0,6.164929277531512E-8,2.562860629889719E-8,6.455151497212877E-8,3.810680909452087E-8,0.002387057369202177,3.4832847162563327E-9,1.2330908607817773E-7,5.581544290038432E-10,3.361811444541811E-10,2.013395550723394E-10,2.799327961199765E-11,4.075408928619283E-10,2.8923135104342616E-10
124.0,7.252596699462213E-8,2.809526475193446E-8,6.65342651573449E-8,4.025104035093466E-8,0.0023734727428625915,3.796626333604844E-9,1.2650940399961997E-7,5.68031429618704E-10,3.399740022298701E-10,2.0425658977165352E-10,2.857701297802534E-11,4.129451975140142E-10,2.8887677976086277E-10
127.0,6.85222606669487E-8,3.217115673871755E-8,7.364774587642218E-8,4.438438952807288E-8,0.0025052827044345443,4.212480622223003E-9,1.1506661366919884E-7,6.219710789424378E-10,3.0762770328351463E-10,1.949684498796619E-10,3.152966715590698E-11,4.507770126583975E-10,2.931235476765451E-10
129.0,6.793427223817737E-8,3.512504704317799E-8,8.093473191043146E-8,4.802087711978671E-8,0.0026343531452198772,4.385943346371516E-9,1.2196690970213768E-7,6.642932505848534E-10,3.12205361713634E-10,1.9769160031569845E-10,3.214978141120914E-11,4.842173075644297E-10,2.964683729046009E-10
132.0,7.583744481749843E-8,3.97553501111094E-8,9.259912633609864E-8,5.41350776698643E-8,0.002677933675291086,4.7271004430010376E-9,1.2681867102802564E-7,6.830935143090573E-10,3.5817274486690105E-10,2.176986534233731E-10,3.093584907268831E-11,5.010041122724101E-10,2.9639078705187003E-10
135.0,8.050434730438049E-8,4.4937150938123726E-8,9.998213147822015E-8,6.0304846267212E-8,0.002470972521917028,4.948309589373457E-9,1.3000555649209195E-7,6.482259612582433E-10,3.2800257929228693E-10,2.073877190193488E-10,3.403252419915374E-11,4.6538368200430624E-10,2.920075625885908E-10
137.0,8.481033062332158E-8,4.871405256865639E-8,1.027054934083892E-7,6.416469872678297E-8,0.002343826999209244,5.331518357394528E-9,1.210940007539752E-7,6.142870711827146E-10,3.347706794573839E-10,2.115479223468212E-10,3.468573649671456E-11,4.357594102070904E-10,2.8720016745809955E-10
140.0,9.398541821850653E-8,5.5123819341491844E-8,1.10030113236065E-7,7.027265777178726E-8,0.002328720189042856,6.0525813613438005E-9,1.2869227167401623E-7,6.021515206188088E-10,3.857536656665963E-10,2.3708135935477806E-10,3.3351882219787285E-11,4.284506409386955E-10,2.835160268465313E-10
142.0,1.0008623581620686E-7,5.98581686298412E-8,1.1809389152587786E-7,7.491187345984147E-8,0.0024026591151727716,6.63727393420875E-9,1.272885936631409E-7,6.250025001902073E-10,3.9607557234186795E-10,2.4423359910070186E-10,3.397219631761493E-11,4.45506841396237E-10,2.8542830482895437E-10
145.0,1.1230402190391815E-7,6.797806400134625E-8,1.3254984405614814E-7,8.39365937964494E-8,0.002550000007691855,7.557406261219708E-9,1.3323141917364183E-7,6.806843049999435E-10,3.7847228549266405E-10,2.3882100687100716E-10,3.732596016283589E-11,4.823610054457031E-10,2.9281915428203146E-10
148.0,1.302057539031704E-7,7.661561554587757E-8,1.4982836480170158E-7,9.508199693352033E-8,0.0026925015994052025,8.447620860379257E-9,1.265910424920692E-7,7.227017055745514E-10,4.445459962727361E-10,2.7770381195883917E-10,3.5878954092431766E-11,5.160870901773141E-10,2.9769706368067243E-10
150.0,1.412221732961222E-7,8.159215510316466E-8,1.620615031834181E-7,1.0258320029151856E-7,0.0027798753818428874,8.635275232014678E-9,1.2687589321722728E-7,7.531728912704524E-10,4.711295786271891E-10,2.957872933345572E-10,3.653760122449154E-11,5.368128995255582E-10,3.0205838697807193E-10
153.0,1.5405525798529468E-7,8.59189114319067E-8,1.7927758628517652E-7,1.0864320004679763E-7,0.002910666302171754,8.450532070475957E-9,1.3414501750482359E-7,8.0600705340358E-10,4.911215019934406E-10,3.0926370409848334E-10,4.0130494130719135E-11,5.670186590834837E-10,3.1185323024663494E-10
155.0,1.5057092495059487E-7,8.506301891034924E-8,1.8869197323525934E-7,1.0685169345832191E-7,0.0029332509417204786,8.112539949127797E-9,1.2637562328505462E-7,8.310368397659551E-10,5.444004764536577E-10,3.4328924836036996E-10,4.0851845677900043E-11,5.812836385452064E-10,3.1590254040552453E-10
158.0,1.3563095930106808E-7,7.759370967543802E-8,1.9787863795986348E-7,9.545663138920063E-8,0.002947085947257571,8.046897594713693E-9,1.278724668468282E-7,8.49208329232546E-10,6.770213409692097E-10,4.320801502596106E-10,3.924141443435977E-11,5.9023495691123E-10,3.1648899247877265E-10
160.0,1.2305029804361675E-7,6.962135511981714E-8,1.9983631856176242E-7,8.530365400316451E-8,0.0029238819074892974,8.284196020873274E-9,1.361796725576878E-7,8.489337198037787E-10,7.288475493153515E-10,4.665093675685453E-10,3.993601241194383E-11,5.84176341517556E-10,3.158584283405397E-10
163.0,1.088180086161937E-7,5.884888043612235E-8,1.9710703184823478E-7,7.237708912763011E-8,0.0028661009002026966,8.170990276354375E-9,1.3932734509496242E-7,8.450123678859463E-10,7.703427506127663E-10,4.906104084425497E-10,4.384418721079739E-11,5.675282289289255E-10,3.1657454611961197E-10
166.0,1.017875765396646E-7,5.335011314364106E-8,1.8992604566672727E-7,6.598685975056004E-8,0.0026936919018636556,7.697477735202585E-9,1.3241934105177905E-7,7.980504201385363E-10,7.504822762104106E-10,4.807046945178102E-10,4.2070023740888185E-11,5.384265564123463E-10,3.064418005858485E-10
168.0,9.956957785480527E-8,5.240043407461683E-8,1.8431689218564575E-7,6.530225828438284E-8,0.002589557405888135,7.1932512490994966E-9,1.3878431636142683E-7,7.696065503400792E-10,7.433921553951318E-10,4.758475977730423E-10,4.279091413588739E-11,5.161402097693095E-10,3.01042708609835E-10
171.0,1.0225385231456265E-7,5.2864951313278773E-8,1.7585390908159412E-7,6.734332451275041E-8,0.002425790783020043,6.560471368457624E-9,1.528202435370375E-7,7.384161472107916E-10,7.717898932920591E-10,4.942816824097717E-10,4.6946825781928953E-11,4.80006258676047E-10,2.9579437018030216E-10
173.0,1.001872190601104E-7,5.3510000630098446E-8,1.6963217671268005E-7,6.883224197709326E-8,0.0022889414541388564,6.411447699845067E-9,1.446668539803106E-7,7.033449526622396E-10,7.655925537653439E-10,4.905552240643319E-10,4.770910249028221E-11,4.5162142990198297E-10,2.891397732945094E-10
176.0,9.991422454077616E-8,5.3875448164068225E-8,1.6016313454045375E-7,6.954246376903649E-8,0.0021074929883031016,6.272224836219668E-9,1.4886670054296962E-7,6.384608867034697E-10,7.088987486200634E-10,4.5224558153252034E-10,4.563520639268693E-11,4.1213479009669735E-10,2.776455403707732E-10
178.0,1.0016229020555884E-7,5.404930881376612E-8,1.5368332425258038E-7,6.893885544263104E-8,0.0020333388761535494,6.58188070525915E-9,1.471256774954633E-7,6.202357018597376E-10,7.036496251648296E-10,4.48655918477916E-10,4.636912573733833E-11,3.9713505998069025E-10,2.7456170568367437E-10
181.0,1.0168371170615236E-7,5.4624201725255776E-8,1.4546773542165851E-7,6.771350904709082E-8,0.0020013794252055164,7.526496055452014E-9,1.4819296824058565E-7,6.373678794001208E-10,7.547759841647474E-10,4.830777707768305E-10,5.0962739252947723E-11,3.964185733764511E-10,2.7600775314648955E-10
184.0,1.0527926660819259E-7,5.661214749962685E-8,1.415126482983837E-7,6.76436974636132E-8,0.00201973221628225,8.84404153280627E-9,1.4728354747534632E-7,6.365786821882282E-10,6.97847248496091E-10,4.447819081606568E-10,4.858572823252682E-11,4.0986045823571076E-10,2.7695068233948943E-10
186.0,1.0960514959494859E-7,5.872914654346656E-8,1.4195950415534172E-7,6.871820736172001E-8,0.0020605078192786883,9.882738956699996E-9,1.3776236746008434E-7,6.584499491493852E-10,6.985198639848475E-10,4.45314258506815E-10,4.933326300629231E-11,4.26981161896853E-10,2.807269766954491E-10
189.0,1.1330540907166519E-7,6.288791054870746E-8,1.4639920731617773E-7,7.186889672752294E-8,0.0021399692609023113,1.1433607078234106E-8,1.3727056223122693E-7,7.147751877170176E-10,7.668560046489555E-10,4.899329174077383E-10,5.4278638669389895E-11,4.57553348321502E-10,2.8846562967119184E-10
191.0,1.160902648952687E-7,6.579564670916114E-8,1.5081876544916947E-7,7.446309302224953E-8,0.0021836638543586357,1.2479554931515262E-8,1.350286562390455E-7,7.380740521151985E-10,7.723357669910254E-10,4.931024512265489E-10,5.5130285463571536E-11,4.75267757253443E-10,2.9261605302006237E-10
194.0,1.1951004566464052E-7,6.989385531992507E-8,1.5819349378615161E-7,7.833383664320178E-8,0.0022135142271142135,1.3908610057208801E-8,1.3329291506367142E-7,7.415717550982345E-10,7.082641774469155E-10,4.5233180080887633E-10,5.230548753214344E-11,4.89449835666968E-10,2.9626001651108737E-10
197.0,1.2026257929197885E-7,7.310997649160059E-8,1.6390120118501277E-7,8.132040552837206E-8,0.0022169453944761936,1.4661518708363988E-8,1.365572659921327E-7,7.735626119529022E-10,7.945775877825439E-10,5.063240023107164E-10,5.767850451992061E-11,4.992781768554766E-10,2.988064931585517E-10
199.0,1.1965324834429996E-7,7.474301203279137E-8,1.667863202502368E-7,8.234300181869541E-8,0.002204269730043415,1.495761680446709E-8,1.3915483830444836E-7,7.758651532249038E-10,8.043430774917905E-10,5.122678690596539E-10,5.854851483201104E-11,4.993912621617732E-10,2.9887812340131276E-10
202.0,1.2074585836630911E-7,7.648849346411098E-8,1.6878783477106671E-7,8.235650704432151E-8,0.002261819461649916,1.499887494453693E-8,1.3206972760710383E-7,7.486667132498384E-10,7.3487866022131E-10,4.707232679015115E-10,5.5386696192435176E-11,4.897650161714436E-10,2.9685380633647583E-10
204.0,1.2246495278443906E-7,7.710852158887071E-8,1.6927275299189166E-7,8.111213639899385E-8,0.0021531048796275256,1.4741982657739566E-8,1.3748374574690155E-7,7.414473324917626E-10,7.430447993788007E-10,4.763615041287204E-10,5.6174749811345597E-11,4.826036333952108E-10,2.952237602633067E-10
207.0,1.2243890540712967E-7,7.767330485791302E-8,1.683039484093883E-7,7.798897099306298E-8,0.002091509646382999,1.4000549724134754E-8,1.4361492776897016E-7,7.543738453249934E-10,8.520447681347446E-10,5.416794726824727E-10,6.21598736367475E-11,4.746231893635372E-10,2.919851851796701E-10
209.0,1.2208464264019695E-7,7.801795197421568E-8,1.6696090270348466E-7,7.516745033273388E-8,0.00205643893362566,1.337121579414546E-8,1.4070929284357056E-7,7.457888914774479E-10,8.639152871668438E-10,5.490511912428677E-10,6.306892649705703E-11,4.658253568877546E-10,2.893720580272427E-10
212.0,1.2209436885316723E-7,7.849079167929923E-8,1.649305032193422E-7,7.0890458913568E-8,0.002004366225738344,1.2354169868793975E-8,1.4605172403815306E-7,7.087448382924341E-10,7.740340440678092E-10,4.976050575965791E-10,5.934700518083108E-11,4.511876421326251E-10,2.8730283154230004E-10
215.0,1.2169301003042284E-7,7.864898377385372E-8,1.6535826608528505E-7,6.722892300188782E-8,0.0019680640539971143,1.1472169571937186E-8,1.5192223077426632E-7,7.352008798855863E-10,9.000851108413585E-10,5.71697957325417E-10,6.574198317218091E-11,4.5142127148156573E-10,2.84799345109493E-10
217.0,1.2002696138083407E-7,7.8083904008289E-8,1.668978349870937E-7,6.544337446968363E-8,0.0019570559772473977,1.0961796535847722E-8,1.3986284962336007E-7,7.393845522177649E-10,9.126434578109534E-10,5.796027346837062E-10,6.662742538827195E-11,4.5296524514946446E-10,2.8503631888332776E-10
220.0,1.1923604690836208E-7,7.688381049363888E-8,1.712377069819319E-7,6.378372267941419E-8,0.001958956762429335,1.046851531958724E-8,1.4483324188255808E-7,7.198493945584752E-10,8.072522878259896E-10,5.20681740787903E-10,6.245488021227608E-11,4.5436097639778244E-10,2.878965582581663E-10
222.0,1.2002595207443292E-7,7.571131090693895E-8,1.7523495716523828E-7,6.33193159930112E-8,0.0019674390044015803,1.0298109405354276E-8,1.474687159586593E-7,7.281959907565405E-10,8.157349562628082E-10,5.265999932223431E-10,6.322663756312907E-11,4.593838187449544E-10,2.8930349135351684E-10
225.0,1.1484971648211026E-7,7.380317880654223E-8,1.803819282459638E-7,6.279984460143462E-8,0.001979082028102508,1.0117659905283476E-8,1.5200098460470252E-7,7.73212385607772E-10,9.633231723299399E-10,6.114759419139398E-10,7.011205883739177E-11,4.725803288584656E-10,2.894930178673843E-10
227.0,1.1169643798754267E-7,7.235049738794347E-8,1.8290593755061236E-7,6.237437786782466E-8,0.0019766426333474077,9.972390509548894E-9,1.602501350192889E-7,7.791963872866079E-10,9.756468123435448E-10,6.192236414730022E-10,7.09774021559315E-11,4.753139574729891E-10,2.902608331936652E-10
230.0,1.0697716095058583E-7,7.024189432764036E-8,1.8425639213098385E-7,6.107220755139643E-8,0.0019536294141310156,9.622895695948449E-9,1.531067604114474E-7,7.439841265659398E-10,8.495120414310573E-10,5.501021449877304E-10,6.622057670370333E-11,4.6548215707977175E-10,2.9167187569115346E-10
233.0,1.02326109144474E-7,6.756238168861464E-8,1.8096509171925505E-7,5.826922295475772E-8,0.0019136791147127295,9.200405061823945E-9,1.4910715823122213E-7,7.715857147784939E-10,1.017678091623176E-9,6.459334962194968E-10,7.360615144651423E-11,4.609461943101502E-10,2.8663192418498625E-10
